School Name,School Type,Starting Median Salary,Mid Career Median Salary,StartFx,MidFX
University of Southern California (USC),Private Research Universities,50300,99400,119.75448%,135.98388%
University of Southern Indiana,State Schools,36200,56000,86.18514%,76.61064%
University of Southern Maine (USM),State Schools,40500,61800,96.42260%,84.54531%
University of Southern Mississippi (USM),State Schools,39000,62600,92.85139%,85.63975%
University Of St. Francis,Private,45900,70500,109.27894%,96.44732%
"University of St. Thomas, Minnesota",Private Research Universities,45000,77400,107.13622%,105.88685%
University of Tampa,Private,36200,73800,86.18514%,100.96188%
University of Tennessee,"State Schools, Party",42400,74400,100.94613%,101.78271%
University of Tennessee at Chattanooga (UTC),State Schools,38900,64800,92.61331%,88.64945%
University of Texas (UT) - Austin,"State Schools, Party",49100,87500,116.89752%,119.70412%
University of Texas at Arlington (UTA),State Schools,44300,78600,105.46965%,107.52850%
University of Texas at Dallas,State Schools,44900,80300,106.89814%,109.85418%
University of Texas at El Paso (UTEP),State Schools,43100,68900,102.61269%,94.25845%
University of Texas at San Antonio (UTSA),State Schools,40700,71700,96.89876%,98.08898%
University of Texas at Tyler,State Schools,40900,60700,97.37492%,83.04046%
"University of the Arts (UArts), Philadelphia",Arts & Design,37700,62300,89.75634%,85.22934%
University of the Cumberlands,Private,33000,44000,78.56656%,60.19407%
University of the District of Columbia,State Schools,44500,65000,105.94582%,88.92306%
University of The Incarnate Word,Private,37000,60400,88.08978%,82.63005%
"University of the Pacific, Stockton, CA",Private Research Universities,51600,100000,122.84953%,136.80471%
University of The Sciences in Philadelphia (USP),Private,49700,113000,118.32600%,154.58933%
University of Toledo,State Schools,42800,75600,101.89845%,103.42436%
University of Tulsa,Private Research Universities,44000,82500,104.75541%,112.86389%
University of Utah,State Schools,44100,81700,104.99349%,111.76945%
University of Vermont (UVM),State Schools,44700,83800,106.42198%,114.64235%
University of Virginia (UVA),State Schools,50500,93900,120.23064%,128.45963%
University of Washington (UW),State Schools,47100,86500,112.13591%,118.33608%
University of West Florida (UWF),State Schools,35200,70900,83.80433%,96.99454%
University of Wisconsin (UW) - Eau Claire,State Schools,42200,69300,100.46996%,94.80567%
University of Wisconsin (UW) - Green Bay,State Schools,36400,58300,86.66130%,79.75715%
University of Wisconsin (UW) - La Crosse,State Schools,40100,71800,95.47027%,98.22578%
University of Wisconsin (UW) - Madison,"State Schools, Party",47900,87400,114.04055%,119.56732%
University of Wisconsin (UW) - Milwaukee,State Schools,41700,71700,99.27956%,98.08898%
University of Wisconsin (UW) - Oshkosh,State Schools,38900,67800,92.61331%,92.75360%
University of Wisconsin (UW) - Parkside,State Schools,37900,69300,90.23250%,94.80567%
University of Wisconsin (UW) - Platteville,State Schools,44600,73200,106.18390%,100.14105%
University of Wisconsin (UW) - River Falls,State Schools,39500,64100,94.04179%,87.69182%
University of Wisconsin (UW) - Stevens Point,State Schools,36200,68200,86.18514%,93.30081%
University of Wisconsin (UW) - Stout,State Schools,41200,74800,98.08916%,102.32993%
University of Wisconsin (UW) - Whitewater,State Schools,41600,80600,99.04148%,110.26460%
University of Wyoming (UW),State Schools,42600,80100,101.42229%,109.58058%
Upper Iowa University,Private,35900,63700,85.47089%,87.14460%
Urbana University,Private,43600,56500,103.80309%,77.29466%
Ursinus College,Liberal Arts,40700,82600,96.89876%,113.00069%
Ursuline College,Private,38400,61700,91.42291%,84.40851%
Utah State University,State Schools,41800,77100,99.51764%,105.47643%
Utah Valley University,State Schools,43500,68200,103.56501%,93.30081%
Utica College,Private,39200,61000,93.32755%,83.45087%
Valdosta State University (VSU),State Schools,33800,62200,80.47120%,85.09253%
Valparaiso University,Private,44100,73800,104.99349%,100.96188%
Vanderbilt University,Private Research Universities,52000,104000,123.80185%,142.27690%
Vassar College,Liberal Arts,43000,83200,102.37461%,113.82152%
Villanova University,Private,54500,98300,129.75386%,134.47903%
Virginia Commonwealth University (VCU),State Schools,41200,69100,98.08916%,94.53206%
Virginia Polytechnic Institute and State University (Virginia Tech),State Schools,52400,94700,124.75417%,129.55406%
Virginia State University (VSU),State Schools,34900,65800,83.09009%,90.01750%
Virginia Wesleyan College (VWC),Liberal Arts,35900,54700,85.47089%,74.83218%
Viterbo University,Private,41300,61300,98.32724%,83.86129%
Wagner College,Private,51700,84700,123.08761%,115.87359%
Wake Forest University,Private Research Universities,46600,97500,110.94551%,133.38460%
Walla Walla University,Private,46200,78200,109.99318%,106.98129%
Walsh College of Accountancy and Business Administration,Private,42100,64400,100.23188%,88.10224%
Warner University,Private,42800,50100,101.89845%,68.53916%
Wartburg College,Liberal Arts,38200,52400,90.94675%,71.68567%
Washburn University,State Schools,37900,62600,90.23250%,85.63975%
Washington & Jefferson College,Liberal Arts,37100,60800,88.32786%,83.17727%
Washington and Lee University,Liberal Arts,50300,107000,119.75448%,146.38104%
Washington College (Maryland),Liberal Arts,41500,69600,98.80340%,95.21608%
Washington State University (WSU),State Schools,44500,82400,105.94582%,112.72708%
Washington University In St. Louis,Private Research Universities,52100,91400,124.03993%,125.03951%
Wayland Baptist University,Private,39500,64200,94.04179%,87.82863%
Wayne State College,State Schools,36800,59700,87.61362%,81.67241%
Wayne State University,State Schools,42900,74500,102.13653%,101.91951%
Waynesburg University,Private,42500,50200,101.18421%,68.67597%
Weber State University,State Schools,45200,76400,107.61238%,104.51880%
Webster University,Private,38900,61300,92.61331%,83.86129%
Wellesley College,Liberal Arts,41900,84600,99.75572%,115.73679%
Wentworth Institute of Technology,"Private, Engineering",52500,84600,124.99225%,115.73679%
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,46700,96100,111.18359%,131.46933%
West Chester University,State Schools,41300,77400,98.32724%,105.88685%
West Liberty University,State Schools,39900,62600,94.99411%,85.63975%
West Texas A & M University,State Schools,37800,67500,89.99442%,92.34318%
West Virginia State College,State Schools,32900,55900,78.32848%,76.47383%
West Virginia University (WVU),"State Schools, Party",45000,79200,107.13622%,108.34933%
West Virginia University Institute of Technology (WVU Tech),State Schools,43000,83500,102.37461%,114.23194%
West Virginia Wesleyan College (WVWC),Liberal Arts,33900,67300,80.70928%,92.06957%
Western Carolina University,State Schools,36000,64300,85.70897%,87.96543%
Western Connecticut State University,State Schools,41300,76700,98.32724%,104.92921%
Western Governors University (WGU),Private,38500,72900,91.66099%,99.73064%
Western Illinois University,State Schools,37000,69600,88.08978%,95.21608%
Western Kentucky University,State Schools,36900,60200,87.85170%,82.35644%
Western Michigan University (WMU),State Schools,41600,74400,99.04148%,101.78271%
Western New England College,Private,42400,80300,100.94613%,109.85418%
Western State College of Colorado,State Schools,42000,68200,99.99380%,93.30081%
Western Washington University,State Schools,42500,78600,101.18421%,107.52850%
Westfield State College,State Schools,35900,61100,85.47089%,83.58768%
"Westminster College, Pennsylvania",Liberal Arts,36300,69600,86.42322%,95.21608%
"Westminster College, Utah",Private,42300,72000,100.70805%,98.49939%
Westmont College,Liberal Arts,37600,89900,89.51826%,122.98744%
"Wheaton College, Illinois",Liberal Arts,39900,82700,94.99411%,113.13750%
"Wheaton College, Massachusetts",Liberal Arts,42300,85500,100.70805%,116.96803%
Wheeling Jesuit University,Private,40500,67100,96.42260%,91.79596%
Whitman College,Liberal Arts,39700,82000,94.51795%,112.17986%
Whittier College,Liberal Arts,40800,70700,97.13684%,96.72093%
Whitworth College,Private,35900,63100,85.47089%,86.32377%
Wichita State University,State Schools,41400,67300,98.56532%,92.06957%
Widener University,Private Research Universities,52000,82500,123.80185%,112.86389%
Wilkes University,Private,45600,77500,108.56470%,106.02365%
Willamette University,Liberal Arts,37300,78200,88.80402%,106.98129%
William Carey University,Private,38100,55500,90.70866%,75.92662%
William Jewell College,Liberal Arts,47100,84000,112.13591%,114.91596%
William Paterson University,State Schools,43500,72500,103.56501%,99.18342%
William Penn University,Private,34100,46300,81.18545%,63.34058%
William Woods University,Private,34600,44400,82.37585%,60.74129%
Williams College,Liberal Arts,49900,106000,118.80216%,145.01300%
Wilmington College,Private,39000,64400,92.85139%,88.10224%
Wilmington College,Private Research Universities,38000,64200,90.47058%,87.82863%
Wingate University,Liberal Arts,33300,56300,79.28080%,77.02105%
Winona State University,State Schools,41700,62000,99.27956%,84.81892%
Winston-Salem State University,State Schools,42300,61100,100.70805%,83.58768%
Winthrop University,State Schools,34900,59000,83.09009%,80.71478%
Wittenberg University,Liberal Arts,37200,70400,88.56594%,96.31052%
Wofford College,Liberal Arts,33200,75000,79.04272%,102.60353%
Woodbury University,Private,41900,66400,99.75572%,90.83833%
Worcester Polytechnic Institute (WPI),"Private Research Universities, Engineering",60900,104000,144.99102%,142.27690%
Worcester State College,State Schools,40300,67100,95.94644%,91.79596%
Wright State University,State Schools,41200,68600,98.08916%,93.84803%
"Xavier University, Cincinnati",Private,44800,77300,106.66006%,105.75004%
Yale University,"Private Research Universities, Ivy League",52600,110000,125.23034%,150.48518%
York College Pennsylvania,Private,40500,62100,96.42260%,84.95573%
Youngstown State University (YSU),State Schools,40000,67600,95.23219%,92.47999%
